date,litecoin
2021-01-01,38
2021-01-02,56
2021-01-03,80
2021-01-04,75
2021-01-05,59
2021-01-06,64
2021-01-07,83
2021-01-08,75
2021-01-09,74
2021-01-10,77
2021-01-11,71
2021-01-12,60
2021-01-13,49
2021-01-14,50
2021-01-15,44
2021-01-16,40
2021-01-17,37
2021-01-18,36
2021-01-19,49
2021-01-20,39
2021-01-21,41
2021-01-22,36
2021-01-23,32
2021-01-24,31
2021-01-25,34
2021-01-26,30
2021-01-27,32
2021-01-28,34
2021-01-29,53
2021-01-30,42
2021-01-31,36
2021-02-01,33
2021-02-02,40
2021-02-03,47
2021-02-04,48
2021-02-05,43
2021-02-06,50
2021-02-07,43
2021-02-08,53
2021-02-09,67
2021-02-10,66
2021-02-11,61
2021-02-12,60
2021-02-13,89
2021-02-14,85
2021-02-15,66
2021-02-16,63
2021-02-17,72
2021-02-18,73
2021-02-19,73
2021-02-20,80
2021-02-21,67
2021-02-22,68
2021-02-23,68
2021-02-24,64
2021-02-25,53
2021-02-26,48
2021-02-27,44
2021-02-28,44
2021-03-01,41
2021-03-02,39
2021-03-03,45
2021-03-04,38
2021-03-05,33
2021-03-06,34
2021-03-07,36
2021-03-08,37
2021-03-09,45
2021-03-10,45
2021-03-11,41
2021-03-12,51
2021-03-13,60
2021-03-14,55
2021-03-15,46
2021-03-16,41
2021-03-17,35
2021-03-18,38
2021-03-19,34
2021-03-20,32
2021-03-21,30
2021-03-22,32
2021-03-23,30
2021-03-24,32
2021-03-25,31
2021-03-26,28
2021-03-27,27
2021-03-28,27
2021-03-29,32
2021-03-30,35
2021-03-31,32
2021-04-01,36
2021-04-02,40
2021-04-03,41
2021-04-04,36
2021-04-05,43
2021-04-06,57
2021-04-07,44
2021-04-08,37
2021-04-09,34
2021-04-10,44
2021-04-11,62
2021-04-12,49
2021-04-13,60
2021-04-14,64
2021-04-15,61
2021-04-16,78
2021-04-17,85
2021-04-18,74
2021-04-19,62
2021-04-20,59
2021-04-21,51
2021-04-22,52
2021-04-23,54
2021-04-24,44
2021-04-25,42
2021-04-26,43
2021-04-27,43
2021-04-28,42
2021-04-29,40
2021-04-30,42
2021-05-01,46
2021-05-02,43
2021-05-03,61
2021-05-04,75
2021-05-05,87
2021-05-06,74
2021-05-07,69
2021-05-08,68
2021-05-09,81
2021-05-10,100
2021-05-11,69
2021-05-12,69
2021-05-13,73
2021-05-14,61
2021-05-15,52
2021-05-16,51
2021-05-17,52
2021-05-18,51
2021-05-19,68
2021-05-20,60
2021-05-21,53
2021-05-22,46
2021-05-23,60
2021-05-24,55
2021-05-25,47
2021-05-26,43
2021-05-27,41
2021-05-28,36
2021-05-29,38
2021-05-30,33
2021-05-31,31
2021-06-01,30
2021-06-02,33
2021-06-03,31
2021-06-04,26
2021-06-05,26
2021-06-06,25
2021-06-07,25
2021-06-08,29
2021-06-09,26
2021-06-10,25
2021-06-11,22
2021-06-12,22
2021-06-13,20
2021-06-14,24
2021-06-15,24
2021-06-16,19
2021-06-17,19
2021-06-18,20
2021-06-19,18
2021-06-20,20
2021-06-21,25
2021-06-22,31
2021-06-23,23
2021-06-24,22
2021-06-25,18
2021-06-26,22
2021-06-27,18
2021-06-28,20
2021-06-29,21
2021-06-30,17
