date,dogecoin
2022-07-01,18
2022-07-02,16
2022-07-03,16
2022-07-04,15
2022-07-05,16
2022-07-06,17
2022-07-07,19
2022-07-08,17
2022-07-09,15
2022-07-10,13
2022-07-11,15
2022-07-12,14
2022-07-13,15
2022-07-14,16
2022-07-15,14
2022-07-16,13
2022-07-17,14
2022-07-18,16
2022-07-19,15
2022-07-20,19
2022-07-21,19
2022-07-22,16
2022-07-23,14
2022-07-24,14
2022-07-25,14
2022-07-26,14
2022-07-27,14
2022-07-28,16
2022-07-29,14
2022-07-30,14
2022-07-31,14
2022-08-01,13
2022-08-02,13
2022-08-03,13
2022-08-04,13
2022-08-05,13
2022-08-06,13
2022-08-07,12
2022-08-08,14
2022-08-09,15
2022-08-10,15
2022-08-11,15
2022-08-12,14
2022-08-13,13
2022-08-14,20
2022-08-15,18
2022-08-16,25
2022-08-17,22
2022-08-18,16
2022-08-19,17
2022-08-20,13
2022-08-21,13
2022-08-22,13
2022-08-23,13
2022-08-24,11
2022-08-25,13
2022-08-26,13
2022-08-27,12
2022-08-28,11
2022-08-29,13
2022-08-30,26
2022-08-31,24
2022-09-01,19
2022-09-02,15
2022-09-03,10
2022-09-04,10
2022-09-05,11
2022-09-06,13
2022-09-07,14
2022-09-08,13
2022-09-09,13
2022-09-10,11
2022-09-11,11
2022-09-12,12
2022-09-13,12
2022-09-14,13
2022-09-15,12
2022-09-16,13
2022-09-17,12
2022-09-18,11
2022-09-19,13
2022-09-20,12
2022-09-21,12
2022-09-22,11
2022-09-23,13
2022-09-24,14
2022-09-25,11
2022-09-26,12
2022-09-27,12
2022-09-28,11
2022-09-29,11
2022-09-30,11
2022-10-01,10
2022-10-02,10
2022-10-03,11
2022-10-04,14
2022-10-05,14
2022-10-06,12
2022-10-07,11
2022-10-08,10
2022-10-09,9
2022-10-10,9
2022-10-11,10
2022-10-12,10
2022-10-13,11
2022-10-14,10
2022-10-15,8
2022-10-16,8
2022-10-17,9
2022-10-18,9
2022-10-19,10
2022-10-20,11
2022-10-21,10
2022-10-22,10
2022-10-23,11
2022-10-24,10
2022-10-25,11
2022-10-26,18
2022-10-27,34
2022-10-28,42
2022-10-29,100
2022-10-30,78
2022-10-31,61
2022-11-01,83
2022-11-02,59
2022-11-03,38
2022-11-04,36
2022-11-05,31
2022-11-06,28
2022-11-07,29
2022-11-08,32
2022-11-09,33
2022-11-10,31
2022-11-11,30
2022-11-12,33
2022-11-13,29
2022-11-14,28
2022-11-15,24
2022-11-16,24
2022-11-17,25
2022-11-18,24
2022-11-19,21
2022-11-20,22
2022-11-21,22
2022-11-22,20
2022-11-23,17
2022-11-24,15
2022-11-25,20
2022-11-26,22
2022-11-27,31
2022-11-28,27
2022-11-29,25
2022-11-30,25
2022-12-01,21
2022-12-02,19
2022-12-03,19
2022-12-04,20
2022-12-05,21
2022-12-06,18
2022-12-07,18
2022-12-08,19
2022-12-09,17
2022-12-10,16
2022-12-11,19
2022-12-12,18
2022-12-13,18
2022-12-14,17
2022-12-15,15
2022-12-16,16
2022-12-17,16
2022-12-18,16
2022-12-19,16
2022-12-20,17
2022-12-21,17
2022-12-22,19
2022-12-23,19
2022-12-24,18
2022-12-25,18
2022-12-26,17
2022-12-27,17
2022-12-28,18
2022-12-29,19
2022-12-30,19
2022-12-31,18
