date,bitcoin,trend_relative_diff,trend_log_return
2013-01-01,2,-0.3333333333333333,-0.40546510810816444
2013-01-02,3,0.5,0.4054651081081644
2013-01-03,3,0.0,0.0
2013-01-04,3,0.0,0.0
2013-01-05,4,0.3333333333333333,0.28768207245178085
2013-01-06,4,0.0,0.0
2013-01-07,3,-0.25,-0.2876820724517809
2013-01-08,3,0.0,0.0
2013-01-09,3,0.0,0.0
2013-01-10,3,0.0,0.0
2013-01-11,3,0.0,0.0
2013-01-12,3,0.0,0.0
2013-01-13,3,0.0,0.0
2013-01-14,3,0.0,0.0
2013-01-15,3,0.0,0.0
2013-01-16,3,0.0,0.0
2013-01-17,3,0.0,0.0
2013-01-18,3,0.0,0.0
2013-01-19,3,0.0,0.0
2013-01-20,3,0.0,0.0
2013-01-21,3,0.0,0.0
2013-01-22,3,0.0,0.0
2013-01-23,4,0.3333333333333333,0.28768207245178085
2013-01-24,4,0.0,0.0
2013-01-25,3,-0.25,-0.2876820724517809
2013-01-26,3,0.0,0.0
2013-01-27,3,0.0,0.0
2013-01-28,4,0.3333333333333333,0.28768207245178085
2013-01-29,4,0.0,0.0
2013-01-30,4,0.0,0.0
2013-01-31,4,0.0,0.0
2013-02-01,4,0.0,0.0
2013-02-02,5,0.25,0.22314355131420976
2013-02-03,4,-0.2,-0.2231435513142097
2013-02-04,4,0.0,0.0
2013-02-05,4,0.0,0.0
2013-02-06,4,0.0,0.0
2013-02-07,4,0.0,0.0
2013-02-08,4,0.0,0.0
2013-02-09,4,0.0,0.0
2013-02-10,4,0.0,0.0
2013-02-11,4,0.0,0.0
2013-02-12,5,0.25,0.22314355131420976
2013-02-13,5,0.0,0.0
2013-02-14,5,0.0,0.0
2013-02-15,5,0.0,0.0
2013-02-16,5,0.0,0.0
2013-02-17,6,0.2,0.1823215567939546
2013-02-18,5,-0.16666666666666666,-0.1823215567939546
2013-02-19,6,0.2,0.1823215567939546
2013-02-20,5,-0.16666666666666666,-0.1823215567939546
2013-02-21,5,0.0,0.0
2013-02-22,5,0.0,0.0
2013-02-23,6,0.2,0.1823215567939546
2013-02-24,5,-0.16666666666666666,-0.1823215567939546
2013-02-25,5,0.0,0.0
2013-02-26,5,0.0,0.0
2013-02-27,5,0.0,0.0
2013-02-28,7,0.4,0.3364722366212129
2013-03-01,7,0.0,0.0
2013-03-02,6,-0.14285714285714285,-0.15415067982725836
2013-03-03,6,0.0,0.0
2013-03-04,6,0.0,0.0
2013-03-05,7,0.16666666666666666,0.15415067982725836
2013-03-06,10,0.42857142857142855,0.3566749439387324
2013-03-07,9,-0.1,-0.10536051565782628
2013-03-08,8,-0.1111111111111111,-0.11778303565638351
2013-03-09,8,0.0,0.0
2013-03-10,8,0.0,0.0
2013-03-11,8,0.0,0.0
2013-03-12,13,0.625,0.4855078157817008
2013-03-13,9,-0.3076923076923077,-0.3677247801253174
2013-03-14,8,-0.1111111111111111,-0.11778303565638351
2013-03-15,6,-0.25,-0.2876820724517809
2013-03-16,7,0.16666666666666666,0.15415067982725836
2013-03-17,8,0.14285714285714285,0.13353139262452257
2013-03-18,9,0.125,0.11778303565638346
2013-03-19,11,0.2222222222222222,0.20067069546215124
2013-03-20,13,0.18181818181818182,0.16705408466316624
2013-03-21,17,0.3076923076923077,0.26826398659467937
2013-03-22,18,0.058823529411764705,0.05715841383994862
2013-03-23,19,0.05555555555555555,0.05406722127027579
2013-03-24,16,-0.15789473684210525,-0.17185025692665928
2013-03-25,16,0.0,0.0
2013-03-26,16,0.0,0.0
2013-03-27,19,0.1875,0.17185025692665923
2013-03-28,24,0.2631578947368421,0.2336148511815051
2013-03-29,24,0.0,0.0
2013-03-30,23,-0.041666666666666664,-0.04255961441879589
2013-03-31,23,0.0,0.0
2013-04-01,25,0.08695652173913043,0.083381608939051
2013-04-02,29,0.16,0.14842000511827322
2013-04-03,44,0.5172413793103449,0.4168938039317871
2013-04-04,44,0.0,0.0
2013-04-05,37,-0.1590909090909091,-0.17327172127403667
2013-04-06,29,-0.21621621621621623,-0.24362208265775043
2013-04-07,28,-0.034482758620689655,-0.03509131981127006
2013-04-08,43,0.5357142857142857,0.4289956055183586
2013-04-09,56,0.3023255813953488,0.2641515750415869
2013-04-10,85,0.5178571428571429,0.4172995657551672
2013-04-11,100,0.17647058823529413,0.16251892949777494
2013-04-12,87,-0.13,-0.13926206733350766
2013-04-13,55,-0.367816091954023,-0.4585749334221128
2013-04-14,48,-0.12727272727272726,-0.13613217432458005
2013-04-15,46,-0.041666666666666664,-0.04255961441879589
2013-04-16,41,-0.10869565217391304,-0.11506932978478723
2013-04-17,31,-0.24390243902439024,-0.27958486221916157
2013-04-18,30,-0.03225806451612903,-0.03278982282299084
2013-04-19,25,-0.16666666666666666,-0.1823215567939546
2013-04-20,22,-0.12,-0.12783337150988489
2013-04-21,21,-0.045454545454545456,-0.04652001563489282
2013-04-22,20,-0.047619047619047616,-0.048790164169432056
2013-04-23,23,0.15,0.13976194237515863
2013-04-24,20,-0.13043478260869565,-0.13976194237515874
2013-04-25,20,0.0,0.0
